,well,celltype,channel.1,channel.2,channel.3,experiment,media.overnight,media.treatment,rep,time.treatment,treatment,marker.1,marker.2,marker.3,G1,n,mad_nucleus.median.1,mad_nucleus.mad.1,mad_nucleus.logmean.1,mad_nucleus.logsd.1,median_nucleus.median.1,median_nucleus.mad.1,median_nucleus.logmean.1,median_nucleus.logsd.1,mean_nucleus.median.1,mean_nucleus.mad.1,mean_nucleus.logmean.1,mean_nucleus.logsd.1,std_nucleus.median.1,std_nucleus.mad.1,std_nucleus.logmean.1,std_nucleus.logsd.1,max_nucleus.median.1,max_nucleus.mad.1,max_nucleus.logmean.1,max_nucleus.logsd.1,sum_nucleus.median.1,sum_nucleus.mad.1,sum_nucleus.logmean.1,sum_nucleus.logsd.1,length_nucleus.median.1,length_nucleus.mad.1,length_nucleus.logmean.1,length_nucleus.logsd.1,mad_halo.median.1,mad_halo.mad.1,mad_halo.logmean.1,mad_halo.logsd.1,median_halo.median.1,median_halo.mad.1,median_halo.logmean.1,median_halo.logsd.1,mean_halo.median.1,mean_halo.mad.1,mean_halo.logmean.1,mean_halo.logsd.1,std_halo.median.1,std_halo.mad.1,std_halo.logmean.1,std_halo.logsd.1,max_halo.median.1,max_halo.mad.1,max_halo.logmean.1,max_halo.logsd.1,sum_halo.median.1,sum_halo.mad.1,sum_halo.logmean.1,sum_halo.logsd.1,length_halo.median.1,length_halo.mad.1,length_halo.logmean.1,length_halo.logsd.1,median_nucleus.div.median_halo.median.1,median_nucleus.div.median_halo.mad.1,median_nucleus.div.median_halo.logmean.1,median_nucleus.div.median_halo.logsd.1,mean_nucleus.div.mean_halo.median.1,mean_nucleus.div.mean_halo.mad.1,mean_nucleus.div.mean_halo.logmean.1,mean_nucleus.div.mean_halo.logsd.1,mad_nucleus.median.2,mad_nucleus.mad.2,mad_nucleus.logmean.2,mad_nucleus.logsd.2,median_nucleus.median.2,median_nucleus.mad.2,median_nucleus.logmean.2,median_nucleus.logsd.2,mean_nucleus.median.2,mean_nucleus.mad.2,mean_nucleus.logmean.2,mean_nucleus.logsd.2,std_nucleus.median.2,std_nucleus.mad.2,std_nucleus.logmean.2,std_nucleus.logsd.2,max_nucleus.median.2,max_nucleus.mad.2,max_nucleus.logmean.2,max_nucleus.logsd.2,sum_nucleus.median.2,sum_nucleus.mad.2,sum_nucleus.logmean.2,sum_nucleus.logsd.2,length_nucleus.median.2,length_nucleus.mad.2,length_nucleus.logmean.2,length_nucleus.logsd.2,mad_halo.median.2,mad_halo.mad.2,mad_halo.logmean.2,mad_halo.logsd.2,median_halo.median.2,median_halo.mad.2,median_halo.logmean.2,median_halo.logsd.2,mean_halo.median.2,mean_halo.mad.2,mean_halo.logmean.2,mean_halo.logsd.2,std_halo.median.2,std_halo.mad.2,std_halo.logmean.2,std_halo.logsd.2,max_halo.median.2,max_halo.mad.2,max_halo.logmean.2,max_halo.logsd.2,sum_halo.median.2,sum_halo.mad.2,sum_halo.logmean.2,sum_halo.logsd.2,length_halo.median.2,length_halo.mad.2,length_halo.logmean.2,length_halo.logsd.2,median_nucleus.div.median_halo.median.2,median_nucleus.div.median_halo.mad.2,median_nucleus.div.median_halo.logmean.2,median_nucleus.div.median_halo.logsd.2,mean_nucleus.div.mean_halo.median.2,mean_nucleus.div.mean_halo.mad.2,mean_nucleus.div.mean_halo.logmean.2,mean_nucleus.div.mean_halo.logsd.2,mad_nucleus.median.3,mad_nucleus.mad.3,mad_nucleus.logmean.3,mad_nucleus.logsd.3,median_nucleus.median.3,median_nucleus.mad.3,median_nucleus.logmean.3,median_nucleus.logsd.3,mean_nucleus.median.3,mean_nucleus.mad.3,mean_nucleus.logmean.3,mean_nucleus.logsd.3,std_nucleus.median.3,std_nucleus.mad.3,std_nucleus.logmean.3,std_nucleus.logsd.3,max_nucleus.median.3,max_nucleus.mad.3,max_nucleus.logmean.3,max_nucleus.logsd.3,sum_nucleus.median.3,sum_nucleus.mad.3,sum_nucleus.logmean.3,sum_nucleus.logsd.3,length_nucleus.median.3,length_nucleus.mad.3,length_nucleus.logmean.3,length_nucleus.logsd.3,mad_halo.median.3,mad_halo.mad.3,mad_halo.logmean.3,mad_halo.logsd.3,median_halo.median.3,median_halo.mad.3,median_halo.logmean.3,median_halo.logsd.3,mean_halo.median.3,mean_halo.mad.3,mean_halo.logmean.3,mean_halo.logsd.3,std_halo.median.3,std_halo.mad.3,std_halo.logmean.3,std_halo.logsd.3,max_halo.median.3,max_halo.mad.3,max_halo.logmean.3,max_halo.logsd.3,sum_halo.median.3,sum_halo.mad.3,sum_halo.logmean.3,sum_halo.logsd.3,length_halo.median.3,length_halo.mad.3,length_halo.logmean.3,length_halo.logsd.3,median_nucleus.div.median_halo.median.3,median_nucleus.div.median_halo.mad.3,median_nucleus.div.median_halo.logmean.3,median_nucleus.div.median_halo.logsd.3,mean_nucleus.div.mean_halo.median.3,mean_nucleus.div.mean_halo.mad.3,mean_nucleus.div.mean_halo.logmean.3,mean_nucleus.div.mean_halo.logsd.3
1,C3,MALME3M,DAPI,FITC,TRITC,1,RPMI+5%FBS,RPMI+5%FBS,1,60,ctrl+ctrl,Hoechst,Smad23,,0.630188679,334,141.99,58.866633,4.981020074,0.420788222,714,118.608,6.6173116,0.208703369,698.73,115.057173,6.596701055,0.196921458,167.195,70.556934,5.139668185,0.419486145,1013,267.6093,6.96959,0.258216476,263070,43254.855,12.49687695,0.156648314,374,56.3388,5.900173548,0.195550536,80.422,7.1883861,4.40271293,0.108933687,169,40.0302,5.053557139,0.356264317,185.365,32.283615,5.189494289,0.230054697,96.39,8.6991555,4.585118865,0.130813723,385,1.4826,6.017635833,0.187506479,68450.5,15255.954,11.06972324,0.287899722,362,23.7216,5.880228567,0.084509353,4.259777757,1.522289238,1.56375446,0.525491849,3.811478719,1.214946381,1.407206765,0.39529934,55.959,23.9640051,4.001305047,0.459771278,426,114.53085,6.054045451,0.376398676,414.41,113.589399,6.03465273,0.368168732,68.834,28.4948307,4.198306473,0.453816317,545.5,153.4491,6.305546901,0.352654943,156725,40393.437,11.93482772,0.351242711,374,56.3388,5.900173548,0.195550536,59.636,25.1804784,4.199742634,0.542132574,233,54.8562,5.437507003,0.319249838,230.155,54.893265,5.454082884,0.296684529,71.383,29.199807,4.3851129,0.521651545,390.5,107.4885,6.029782764,0.36205533,84279.5,19509.5334,11.33428477,0.284734351,362,23.7216,5.880201417,0.084534671,1.792944488,0.335971471,0.616538448,0.239767304,1.773255351,0.28884594,0.580569846,0.197687144,1.8331,0.3876999,0.642845159,0.21221091,9,2.9652,2.194500649,0.279865341,8.60835,2.12931012,2.197257407,0.274934611,2.2978,0.48859083,0.867379796,0.204656525,15,2.9652,2.76906197,0.233045021,3232,878.4405,8.096881521,0.278019052,373,57.8214,5.899624243,0.195442173,2.05035,0.51853935,0.76945225,0.282639676,7,1.4826,1.957656825,0.246005663,6.95825,1.53441687,1.975535236,0.241542023,2.54555,0.637518,0.983013148,0.271531783,14,2.9652,2.708675754,0.24877612,2460,579.6966,7.848105298,0.255241497,359,25.2042,5.872569865,0.086423912,1.2,0.12708,0.236843824,0.177404048,1.206481888,0.098631323,0.221722171,0.137088185
2,C4,MALME3M,DAPI,FITC,TRITC,1,RPMI+5%FBS,RPMI+5%FBS,1,60,ctrl+TGFB3,Hoechst,Smad23,,0.633333333,342,146.15,50.163771,4.960729511,0.369143338,696.75,107.4885,6.570996283,0.188240209,686.395,95.835264,6.553367988,0.18161252,170.255,57.732444,5.122979472,0.36775998,1032,217.9422,6.950571235,0.233286546,266700,45760.449,12.51255024,0.161217862,388,65.2344,5.95917992,0.181952685,77.7615,12.0728118,4.350201572,0.146552871,149.75,41.14215,4.955053981,0.361190811,165.805,38.532774,5.097166005,0.258047331,93.3835,13.4256843,4.530196055,0.146452041,384,93.4038,5.933592667,0.160847219,63053,15583.6086,11.00252691,0.290138992,368,26.6868,5.905362065,0.079300174,4.718996783,1.500700548,1.615942302,0.479009842,4.150653986,1.193160661,1.456201983,0.366231716,93.0515,36.909327,4.494910209,0.42550825,577,158.26755,6.333153131,0.349608676,559.67,146.718096,6.308911091,0.345878671,111.865,44.0347026,4.676594638,0.417789489,768,236.4747,6.625585382,0.346639916,222175,63358.911,12.26809299,0.356939871,388,65.2344,5.95917992,0.181952685,66.831,21.0269745,4.238620273,0.409757895,226,48.55515,5.397740188,0.33985408,229.925,48.814605,5.426908564,0.324189854,81.8715,22.1834025,4.434031519,0.395814725,441,103.0407,6.100758861,0.324891777,85776,18952.0758,11.33225672,0.318735786,368,26.6868,5.905347836,0.079279794,2.549073964,0.569105484,0.935412943,0.245072989,2.410021002,0.483525911,0.882002527,0.209373203,1.8502,0.36123549,0.644383342,0.202180586,9,2.9652,2.289406389,0.456213637,8.6374,2.26007544,2.292685245,0.451764665,2.3238,0.46435032,0.870352876,0.196962726,15,2.9652,2.836704782,0.351375271,3527.5,1073.4024,8.251288314,0.451795764,388,63.7518,5.958601789,0.181699968,2.06625,0.48985104,0.761304819,0.260924225,7,1.4826,2.063173635,0.482574005,6.9271,1.76859354,2.074878487,0.476950192,2.5422,0.56828058,0.977915401,0.258180206,14,2.9652,2.774643146,0.375036435,2571.5,628.6224,7.971862611,0.481353974,365.5,25.9455,5.896983536,0.081065654,1.2,0.131786667,0.226232754,0.154501478,1.221082509,0.110648058,0.217806758,0.120846929
3,C5,MALME3M,DAPI,FITC,TRITC,1,RPMI+5%FBS,RPMI+5%FBS,1,60,TGFB3+ctrl,Hoechst,Smad23,,0.618090452,246,157.2,68.355273,5.081489957,0.431034568,814.75,174.2055,6.747131262,0.216198182,805.785,165.925179,6.728348088,0.200801002,186.555,81.772803,5.252304749,0.425782482,1189.5,304.6743,7.108593646,0.243414523,265480,43543.962,12.51027652,0.155174114,338.5,48.9258,5.781925744,0.203435931,95.4345,6.2795523,4.559193385,0.102394217,153,59.304,4.951240251,0.42856011,182.985,47.784198,5.169845847,0.262703844,114.29,6.59757,4.752110199,0.124011192,448,1.4826,6.162196121,0.212553903,64437,19382.0298,11.00308111,0.31577064,348,23.7216,5.833235858,0.08709858,5.362522881,2.76933797,1.79589101,0.595558879,4.441007502,1.807082637,1.558502241,0.429330388,106.62,42.9872457,4.570271146,0.502104791,682,179.76525,6.44972123,0.468227252,667.615,174.116544,6.431843885,0.448904223,128.4,51.1585956,4.765287645,0.493685094,906,266.1267,6.756435586,0.413069782,223955,68533.185,12.21377083,0.499007295,338.5,48.9258,5.781925744,0.203435931,88.907,28.4407158,4.503185706,0.45943927,255,80.0604,5.489956252,0.44690323,261.5,79.978857,5.545209092,0.395310908,107.825,33.1894836,4.697731376,0.440635895,552,147.5187,6.303125772,0.369036833,91401.5,27445.8912,11.37843486,0.404275873,348,23.7216,5.833223814,0.087100199,2.581754032,0.767501223,0.959764978,0.299199585,2.445561883,0.634765899,0.886634792,0.272105956,1.9806,0.39674376,0.705095622,0.204070759,10,2.9652,2.351095607,0.278484253,10.2835,2.7161232,2.354030084,0.27445544,2.4944,0.50912484,0.932648566,0.202010977,18,4.4478,2.888279783,0.234088796,3341,824.3256,8.135774332,0.271641583,338.5,48.9258,5.781743885,0.203311501,2.39455,0.68681445,0.910974374,0.287080587,8,1.4826,2.080788581,0.255562814,7.8692,1.6353078,2.102778804,0.24007143,2.9497,0.81342849,1.121681254,0.274964242,17,4.4478,2.836920901,0.24149219,2678,536.7012,7.929822051,0.246556869,346,23.7216,5.8270423,0.09079824,1.25,0.185325,0.270307027,0.186117282,1.243953799,0.137323541,0.25125128,0.146787605
4,C6,MALME3M,DAPI,FITC,TRITC,1,RPMI+5%FBS,RPMI+5%FBS,1,60,TGFB3+TGFB3,Hoechst,Smad23,,0.650085763,379,135.63,57.4492674,4.955490745,0.461350494,769.5,144.5535,6.697112245,0.225674464,759.18,132.737178,6.681204112,0.209328791,160.83,67.057998,5.135083505,0.454342077,1122,287.6244,7.063057568,0.254247599,272650,46227.468,12.53366556,0.156622916,366,57.8214,5.85245974,0.22003201,97.675,7.4293086,4.587246816,0.12663725,151.5,59.304,4.915256683,0.42999444,183.37,46.18299,5.158194354,0.259620681,116.47,6.790308,4.78025031,0.150273706,448,1.4826,6.172895986,0.244679925,65958,19264.9044,11.02449092,0.317984048,360,25.2042,5.866296162,0.095346011,5.214765101,2.469720531,1.781855561,0.6038583,4.258231043,1.656774089,1.523009758,0.426792932,91.331,36.4512036,4.470935552,0.444850005,617,171.2403,6.401591348,0.346382324,608.45,161.395836,6.384626422,0.34137845,111.01,43.8167604,4.672347409,0.438972829,852,238.6986,6.704180467,0.342450809,211880,70112.154,12.23708773,0.396947554,366,57.8214,5.85245974,0.22003201,80.464,23.7245652,4.443905688,0.465736538,234,56.3388,5.446887945,0.354171144,243.68,56.739102,5.500368248,0.3425967,98.812,28.9670388,4.64227316,0.443881431,512,134.9166,6.262808561,0.351072278,86420,21008.442,11.36637405,0.349668189,360,25.2042,5.866004495,0.096469512,2.58583691,0.642502001,0.954703403,0.277930607,2.439839133,0.501746433,0.884258174,0.23004594,1.8456,0.3321024,0.67067063,0.262556329,9,2.9652,2.268303584,0.356234364,8.9019,2.4210858,2.271235549,0.357998664,2.3152,0.41557278,0.898081655,0.261478932,16,2.9652,2.831479262,0.310194826,3248,885.1122,8.12316501,0.33393685,366,57.8214,5.851928568,0.220006698,2.0959,0.45678906,0.819790558,0.307402098,7,1.4826,2.028977002,0.343757934,7.2097,1.74264804,2.043189735,0.339467577,2.5971,0.52884342,1.029068329,0.292582621,15,2.9652,2.761394898,0.29005707,2553,613.7964,7.900574044,0.332990291,357,26.6868,5.857384314,0.097397122,1.2,0.12708,0.239326583,0.166656112,1.222064627,0.108405277,0.228045815,0.149612215
5,C7,MALME3M,DAPI,FITC,TRITC,2,RPMI+5%FBS,RPMI+5%FBS,1,60,ctrl+ctrl,Hoechst,Smad23,,0.695538058,265,166.73,87.962658,5.115971458,0.467354349,880,235.7334,6.810664559,0.245026075,874.98,219.365496,6.792068963,0.226122233,201.16,106.168986,5.299739555,0.457526032,1340,376.5804,7.191440254,0.253817676,282860,47443.2,12.56008441,0.151423408,330,71.1648,5.768014933,0.228408075,99.134,10.934175,4.610790852,0.146422131,111.5,57.0801,4.666299517,0.49263039,151.33,46.509162,5.027013867,0.283150557,120,12.30558,4.820390271,0.150073441,449,5.9304,6.200833898,0.219791469,52564,18886.8414,10.85945892,0.338215285,344,35.5824,5.832445464,0.099473968,7.922178988,5.382950568,2.144365042,0.646619271,6.010486946,3.135237947,1.765055096,0.443321754,69.27,27.8491584,4.163229168,0.574312225,538.5,150.4839,6.182021408,0.635934427,529.51,143.382246,6.170796175,0.624057364,85.115,34.040496,4.376327793,0.55893751,714,188.2902,6.496890924,0.513192407,173120,47739.72,11.9387891,0.645390908,330,71.1648,5.767990025,0.228414016,91.519,41.7841158,4.487377835,0.637613222,256,71.1648,5.447560177,0.667381164,260.21,67.250736,5.481490864,0.582922013,108.6,44.7878634,4.673789951,0.601757037,501,133.434,6.209498635,0.471577987,90322,23115.2166,11.31333491,0.591617109,344,35.5824,5.831841673,0.099901547,2.009022556,0.495668408,0.734461231,0.278933077,1.981037686,0.404526238,0.689305312,0.249482719,2.0013,0.43025052,0.712314596,0.212487953,10,2.9652,2.338327285,0.279960854,10.225,2.65148184,2.337497646,0.278835107,2.4967,0.48688584,0.934839013,0.207448431,18,4.4478,2.874700294,0.233954739,3334,913.2816,8.105055947,0.274390893,330,71.1648,5.767558291,0.228374632,2.4646,0.74144826,0.952577149,0.302928284,8,1.4826,2.046994614,0.246850132,7.8788,1.44716586,2.077021063,0.242439545,3.0617,0.88600176,1.157002651,0.288746597,17,4.4478,2.833828908,0.244509726,2653,582.6618,7.901530734,0.251406271,343,35.5824,5.82450944,0.102184329,1.285714286,0.2118,0.291332671,0.195751879,1.249355855,0.151402113,0.260476583,0.152768956
6,C8,MALME3M,DAPI,FITC,TRITC,2,RPMI+5%FBS,RPMI+5%FBS,1,60,ctrl+BMP4,Hoechst,Smad23,,0.630081301,310,155.69,62.484177,5.101262766,0.44222698,852.75,181.24785,6.785515251,0.234374881,840.235,166.154982,6.766190281,0.212975217,186.39,73.448004,5.282644676,0.429380408,1289,311.346,7.163604281,0.23369145,291875,45463.929,12.59620702,0.146613284,354.5,71.1648,5.830014076,0.226203756,97.6825,9.4708488,4.590670653,0.139907823,119.25,54.1149,4.690968027,0.441221555,159.275,43.721874,5.028430713,0.260974559,117.54,8.013453,4.797892347,0.148560021,448,2.9652,6.181946095,0.232508728,56402.5,18723.7554,10.88502257,0.317608474,356,29.652,5.85659215,0.095816834,7.098845812,3.585958527,2.094547225,0.60118848,5.241431247,1.917468916,1.737759568,0.414951257,62.853,24.7972263,4.111347908,0.477981131,483.5,145.2948,6.147416182,0.492831031,477.895,142.396317,6.133105241,0.486889689,77.319,30.8936775,4.321148714,0.471435362,649.5,196.4445,6.443958344,0.428983983,169505,49704.165,11.96302767,0.534941148,354.5,71.1648,5.829920114,0.226412941,76.326,32.0256426,4.373783737,0.599158167,243,65.60505,5.462533439,0.577232246,240.93,65.397486,5.473608474,0.514841021,92.7925,36.6461655,4.564489498,0.572490622,449,119.3493,6.14552157,0.455793982,85362,23508.8469,11.32978909,0.526908133,356,29.652,5.856177946,0.096657834,1.906160976,0.446303712,0.684882742,0.317547012,1.929028489,0.415982369,0.659496767,0.267227625,1.8669,0.35537922,0.668518174,0.199135254,10,2.9652,2.314232223,0.330408603,9.60605,2.69810961,2.315625883,0.327184989,2.36355,0.43269681,0.89762995,0.196641325,17,4.4478,2.856294093,0.265261531,3341,924.4011,8.145244816,0.347544126,354.5,71.1648,5.829618582,0.226267101,2.3217,0.61868898,0.876609357,0.281983228,7.75,1.85325,2.076682963,0.339545712,7.67035,1.88638611,2.09588739,0.330077862,2.88945,0.75427275,1.087675215,0.268708639,16,4.4478,2.825948762,0.278305072,2702,689.409,7.944788681,0.344149926,354,29.652,5.848901211,0.09849868,1.2,0.131786667,0.23754926,0.184444101,1.209267058,0.124008475,0.219738493,0.146988493
7,C9,MALME3M,DAPI,FITC,TRITC,2,RPMI+5%FBS,RPMI+5%FBS,1,60,TGFB3+ctrl,Hoechst,Smad23,,0.680733945,371,143.08,49.29645,5.006845549,0.396031459,793,146.7774,6.707961694,0.214370904,791.06,138.84549,6.695191945,0.198095473,176.85,60.7866,5.200204931,0.387364278,1201,256.4898,7.116216828,0.219518752,292540,39466.812,12.59249085,0.141943835,380,62.2692,5.897297234,0.215126821,91.527,13.0216758,4.509395214,0.142952947,93.5,43.7367,4.509436207,0.417571163,133.31,33.121284,4.892200627,0.241400123,112.8,13.180314,4.719078225,0.132806918,446,4.4478,6.084874937,0.174287325,49109,14858.6172,10.77702805,0.297017652,366,28.1694,5.884826698,0.095344579,8.406976744,4.372337567,2.198525487,0.555334925,5.784059865,2.008261756,1.802991318,0.381646145,84.215,34.285125,4.414116155,0.422382673,576,166.0512,6.320845935,0.400420535,570.97,162.982218,6.306147626,0.39170552,103.97,42.1992438,4.622450465,0.416780487,787,228.3204,6.649077033,0.348335381,208670,64582.056,12.20344099,0.426363952,380,62.2692,5.897292329,0.215117407,74.63,25.6682538,4.348910949,0.497651906,214,62.2692,5.356898988,0.439914458,219.16,60.994164,5.392516577,0.422985099,93.137,29.4637098,4.560972541,0.469361646,491,127.5036,6.186515034,0.374005327,80666,20673.3744,11.27720864,0.41231155,366,28.1694,5.884691452,0.095369434,2.649681529,0.839667834,0.963946946,0.309853765,2.493658019,0.677557526,0.913631049,0.275660602,1.9411,0.3699087,0.690032731,0.202455481,10,2.9652,2.366105841,0.374508004,10.075,3.57336252,2.372574243,0.368056906,2.4527,0.45634428,0.918945479,0.204651154,18,4.4478,2.910754121,0.285553314,3715,1091.1936,8.269326857,0.355698348,379,63.7518,5.896752753,0.214748785,2.3526,0.58399614,0.863200292,0.265579071,8,2.9652,2.149131522,0.392002815,8.1522,2.57705532,2.167343369,0.382302635,2.884,0.7220262,1.077760593,0.261379382,17,4.4478,2.866810096,0.306778154,2941,913.2816,8.044276623,0.382294114,364,28.1694,5.876933026,0.096046338,1.166666667,0.12355,0.216974318,0.183254638,1.191831484,0.118711195,0.205230874,0.144693147
8,C10,MALME3M,DAPI,FITC,TRITC,2,RPMI+5%FBS,RPMI+5%FBS,1,60,TGFB3+BMP4,Hoechst,Smad23,,0.624444444,281,142.98,57.910356,4.970562579,0.433798014,798,163.086,6.714462891,0.219626192,794.69,152.63367,6.704954277,0.201022444,174.27,67.665864,5.166833465,0.421753616,1230,299.4852,7.124148555,0.229914376,295610,48614.454,12.59722348,0.149130238,376,56.3388,5.892266731,0.207923768,97.72,12.928272,4.569921137,0.134033606,87,37.8063,4.430317011,0.419327071,135.3,30.126432,4.891722585,0.226642397,118.9,11.63841,4.783791632,0.114354478,448,1.4826,6.148270222,0.173266613,49451,13705.1544,10.77748085,0.273534324,368,29.652,5.885758682,0.091698947,9.474137931,5.081013474,2.28414588,0.537491852,5.971225655,2.312443462,1.813231692,0.368570501,92.95,35.6846994,4.518072374,0.435337885,644,178.6533,6.429743635,0.380355076,633.8,172.678422,6.415168877,0.375850717,114.84,42.417186,4.729943532,0.426703141,894,237.216,6.759498861,0.362136663,231990,73551.786,12.30743861,0.429402018,376,56.3388,5.892266731,0.207923768,84.819,24.5696472,4.463079147,0.427575701,221,67.4583,5.397636722,0.410590149,230.76,66.079482,5.442834363,0.388000646,107.71,29.815086,4.685568549,0.400423711,553,131.9514,6.309478313,0.321508924,85854,24679.3596,11.32857511,0.381771214,368,29.652,5.885738857,0.091699474,2.877828054,0.962881022,1.032106913,0.320925492,2.677337361,0.698048505,0.972334514,0.28471221,2.065,0.41631408,0.740001391,0.205502479,10,2.9652,2.510932217,0.572140031,10.476,3.66691458,2.508950456,0.572803282,2.6025,0.52647126,0.964807178,0.202657886,18,5.9304,3.014743246,0.443734353,3832,1300.2402,8.400863037,0.569809649,376,56.3388,5.891911969,0.207873114,2.4823,0.63736974,0.926608915,0.273557014,8,2.9652,2.320957626,0.621682041,8.5142,2.75852556,2.330706105,0.616047907,3.0645,0.7627977,1.137974494,0.267026424,17,4.4478,2.980164641,0.46102575,3035,934.038,8.209155329,0.619126067,363,28.1694,5.878449164,0.092872547,1.166666667,0.167675,0.189974591,0.157298996,1.167517503,0.126471372,0.178244351,0.125872292
9,C11,MALME3M,DAPI,FITC,TRITC,3,RPMI+5%FBS,RPMI+5%FBS,1,60,ctrl+ctrl,Hoechst,pSmad158,,0.669966997,406,153.18,56.887362,5.056411217,0.388931542,848.5,157.8969,6.768998614,0.206585481,848.98,153.278601,6.762090305,0.189907574,186.665,69.689613,5.250956098,0.378684128,1305.5,268.3506,7.188781358,0.207433183,304465,42721.119,12.62733046,0.135364682,363,65.9757,5.865239042,0.204674699,98.642,16.2537438,4.596113109,0.153926177,76.75,36.69435,4.374864596,0.433563907,132.24,36.54609,4.877685246,0.240501799,121.415,15.233715,4.816730021,0.132775665,449,5.9304,6.173431581,0.164672067,46777.5,14451.6435,10.7515382,0.284875866,360.5,30.3933,5.873853526,0.090416525,10.86490104,6.28673314,2.394134018,0.533798502,6.50690833,2.39808313,1.884405059,0.358853728,133.285,48.866496,4.870130214,0.516175678,536,160.8621,6.249063525,0.459620418,542.48,161.017773,6.254387848,0.453760607,164.46,61.053468,5.073536716,0.511108643,1009,313.5699,6.880009981,0.457539961,196535,63366.324,12.11957599,0.479605758,363,65.9757,5.865185161,0.204740974,53.02,14.5250322,3.986175743,0.38256888,117,31.50525,4.7429671,0.378171637,127.13,34.203582,4.842802201,0.362615849,67.5415,18.1388697,4.237029625,0.378415949,370.5,107.4885,5.955460054,0.372986802,45083.5,14234.4426,10.71621176,0.382021935,360.5,30.3933,5.873409134,0.091361239,4.563665068,1.078485673,1.506096425,0.29300301,4.208049143,1.041094645,1.411585647,0.286521272,1.91755,0.36034593,0.682453257,0.198279075,9,2.9652,2.27585936,0.296889151,9.36455,2.47868481,2.280313701,0.29022148,2.40625,0.43899786,0.909076134,0.190449291,17,2.9652,2.843319227,0.234880161,3351,839.1516,8.144772544,0.306244507,363,65.9757,5.864458461,0.205253603,2.2564,0.58866633,0.860779004,0.258520562,7,1.4826,2.04954418,0.29541531,7.5827,1.71373734,2.066341064,0.2883364,2.7757,0.68177361,1.076923851,0.259542049,16,2.9652,2.804564855,0.277074502,2697,635.2941,7.930446609,0.301458327,357,31.1346,5.86410511,0.094269264,1.222222222,0.144141667,0.22631518,0.166446995,1.213249993,0.125105701,0.213972637,0.130490828
10,C12,MALME3M,DAPI,FITC,TRITC,3,RPMI+5%FBS,RPMI+5%FBS,1,60,ctrl+BMP4,Hoechst,pSmad158,,0.667953668,346,134.34,53.0311194,4.937312746,0.437555332,756.5,164.19795,6.66878041,0.236779099,759.14,160.617471,6.659710579,0.216815916,164.005,62.076462,5.136476267,0.424434207,1167.5,280.2114,7.083051306,0.233241265,270930,44248.197,12.53249576,0.158690279,371,74.8713,5.872782242,0.222677967,86.199,13.3174545,4.461713399,0.169837446,62.25,31.8759,4.127473694,0.436749478,109.035,26.5392813,4.702872837,0.233499454,107.26,14.6799639,4.693638108,0.152412764,439,80.0604,6.063986162,0.18462039,38876.5,11612.4645,10.57886022,0.275254138,364,32.6172,5.875987527,0.098400436,12.60175439,7.455990432,2.541306716,0.529399771,7.094359863,2.654621451,1.956837742,0.354141835,144.3,59.652411,4.938380759,0.576410157,589.75,187.17825,6.342427084,0.498606213,583.585,185.984757,6.341160068,0.486604857,176.475,71.061018,5.140756855,0.554472189,1052.5,357.3066,6.938505707,0.46748052,214875,73981.74,12.21391555,0.501370752,371,74.8713,5.872754228,0.222695356,55.2275,15.5628522,4.049367478,0.398127519,120,30.3933,4.782688434,0.405588017,132.72,36.227331,4.888240171,0.375828417,72.8585,20.3131026,4.314242972,0.385212267,423,128.9862,6.054720822,0.354125243,47984,13737.7716,10.76402757,0.378356329,364,32.6172,5.875787763,0.098538751,4.835177239,1.154566649,1.55973865,0.307714433,4.465895384,1.151143972,1.452919897,0.312742426,1.93745,0.36605394,0.690034322,0.217884453,9,2.59455,2.264749283,0.337531371,9.02395,2.16170493,2.263348785,0.336192538,2.45255,0.46501749,0.915569004,0.215226875,16,2.9652,2.830435565,0.279745162,3315.5,817.6539,8.135274009,0.334828802,371,74.8713,5.871925985,0.222479649,2.2945,0.54240921,0.861636238,0.297124001,7,1.4826,2.033153488,0.346946671,7.3668,1.82189301,2.05431649,0.339699994,2.81,0.64693251,1.073298309,0.294788456,16,3.7065,2.803684362,0.30621131,2639.5,613.7964,7.920823072,0.339612364,361,32.6172,5.866507386,0.099639512,1.25,0.15885,0.231595795,0.151794219,1.223028871,0.122648719,0.209032295,0.128824197
