,well,celltype,channel.1,channel.2,channel.3,experiment,marker.1,marker.2,marker.3,media,rep,time.treatment,treatment.1,treatment,treatment.2,G1,n,mad_nucleus.median.1,mad_nucleus.mad.1,mad_nucleus.logmean.1,mad_nucleus.logsd.1,median_nucleus.median.1,median_nucleus.mad.1,median_nucleus.logmean.1,median_nucleus.logsd.1,mean_nucleus.median.1,mean_nucleus.mad.1,mean_nucleus.logmean.1,mean_nucleus.logsd.1,std_nucleus.median.1,std_nucleus.mad.1,std_nucleus.logmean.1,std_nucleus.logsd.1,max_nucleus.median.1,max_nucleus.mad.1,max_nucleus.logmean.1,max_nucleus.logsd.1,sum_nucleus.median.1,sum_nucleus.mad.1,sum_nucleus.logmean.1,sum_nucleus.logsd.1,length_nucleus.median.1,length_nucleus.mad.1,length_nucleus.logmean.1,length_nucleus.logsd.1,mad_halo.median.1,mad_halo.mad.1,mad_halo.logmean.1,mad_halo.logsd.1,median_halo.median.1,median_halo.mad.1,median_halo.logmean.1,median_halo.logsd.1,mean_halo.median.1,mean_halo.mad.1,mean_halo.logmean.1,mean_halo.logsd.1,std_halo.median.1,std_halo.mad.1,std_halo.logmean.1,std_halo.logsd.1,max_halo.median.1,max_halo.mad.1,max_halo.logmean.1,max_halo.logsd.1,sum_halo.median.1,sum_halo.mad.1,sum_halo.logmean.1,sum_halo.logsd.1,length_halo.median.1,length_halo.mad.1,length_halo.logmean.1,length_halo.logsd.1,median_nucleus.div.median_halo.median.1,median_nucleus.div.median_halo.mad.1,median_nucleus.div.median_halo.logmean.1,median_nucleus.div.median_halo.logsd.1,mean_nucleus.div.mean_halo.median.1,mean_nucleus.div.mean_halo.mad.1,mean_nucleus.div.mean_halo.logmean.1,mean_nucleus.div.mean_halo.logsd.1,mad_nucleus.median.2,mad_nucleus.mad.2,mad_nucleus.logmean.2,mad_nucleus.logsd.2,median_nucleus.median.2,median_nucleus.mad.2,median_nucleus.logmean.2,median_nucleus.logsd.2,mean_nucleus.median.2,mean_nucleus.mad.2,mean_nucleus.logmean.2,mean_nucleus.logsd.2,std_nucleus.median.2,std_nucleus.mad.2,std_nucleus.logmean.2,std_nucleus.logsd.2,max_nucleus.median.2,max_nucleus.mad.2,max_nucleus.logmean.2,max_nucleus.logsd.2,sum_nucleus.median.2,sum_nucleus.mad.2,sum_nucleus.logmean.2,sum_nucleus.logsd.2,length_nucleus.median.2,length_nucleus.mad.2,length_nucleus.logmean.2,length_nucleus.logsd.2,mad_halo.median.2,mad_halo.mad.2,mad_halo.logmean.2,mad_halo.logsd.2,median_halo.median.2,median_halo.mad.2,median_halo.logmean.2,median_halo.logsd.2,mean_halo.median.2,mean_halo.mad.2,mean_halo.logmean.2,mean_halo.logsd.2,std_halo.median.2,std_halo.mad.2,std_halo.logmean.2,std_halo.logsd.2,max_halo.median.2,max_halo.mad.2,max_halo.logmean.2,max_halo.logsd.2,sum_halo.median.2,sum_halo.mad.2,sum_halo.logmean.2,sum_halo.logsd.2,length_halo.median.2,length_halo.mad.2,length_halo.logmean.2,length_halo.logsd.2,median_nucleus.div.median_halo.median.2,median_nucleus.div.median_halo.mad.2,median_nucleus.div.median_halo.logmean.2,median_nucleus.div.median_halo.logsd.2,mean_nucleus.div.mean_halo.median.2,mean_nucleus.div.mean_halo.mad.2,mean_nucleus.div.mean_halo.logmean.2,mean_nucleus.div.mean_halo.logsd.2,mad_nucleus.median.3,mad_nucleus.mad.3,mad_nucleus.logmean.3,mad_nucleus.logsd.3,median_nucleus.median.3,median_nucleus.mad.3,median_nucleus.logmean.3,median_nucleus.logsd.3,mean_nucleus.median.3,mean_nucleus.mad.3,mean_nucleus.logmean.3,mean_nucleus.logsd.3,std_nucleus.median.3,std_nucleus.mad.3,std_nucleus.logmean.3,std_nucleus.logsd.3,max_nucleus.median.3,max_nucleus.mad.3,max_nucleus.logmean.3,max_nucleus.logsd.3,sum_nucleus.median.3,sum_nucleus.mad.3,sum_nucleus.logmean.3,sum_nucleus.logsd.3,length_nucleus.median.3,length_nucleus.mad.3,length_nucleus.logmean.3,length_nucleus.logsd.3,mad_halo.median.3,mad_halo.mad.3,mad_halo.logmean.3,mad_halo.logsd.3,median_halo.median.3,median_halo.mad.3,median_halo.logmean.3,median_halo.logsd.3,mean_halo.median.3,mean_halo.mad.3,mean_halo.logmean.3,mean_halo.logsd.3,std_halo.median.3,std_halo.mad.3,std_halo.logmean.3,std_halo.logsd.3,max_halo.median.3,max_halo.mad.3,max_halo.logmean.3,max_halo.logsd.3,sum_halo.median.3,sum_halo.mad.3,sum_halo.logmean.3,sum_halo.logsd.3,length_halo.median.3,length_halo.mad.3,length_halo.logmean.3,length_halo.logsd.3,median_nucleus.div.median_halo.median.3,median_nucleus.div.median_halo.mad.3,median_nucleus.div.median_halo.logmean.3,median_nucleus.div.median_halo.logsd.3,mean_nucleus.div.mean_halo.median.3,mean_nucleus.div.mean_halo.mad.3,mean_nucleus.div.mean_halo.logmean.3,mean_nucleus.div.mean_halo.logsd.3
1,B4,HCEC,DAPI,FITC,TRITC,TI16.WaT,Hoechst,Smad23,CTNNB1,RPMI+5%FBS,1,2hrs,ctrl,ctrl+ctrl,ctrl,0.426086957,245,52.802,18.443544,3.982376121,0.348429705,333,59.304,5.82040704,0.174483119,332.34,54.159378,5.815750843,0.164751906,66.645,23.773491,4.197504288,0.34857023,524,117.1254,6.27220595,0.224356467,157020,18591.804,11.96449888,0.100942206,470,63.7518,6.148746496,0.138913188,27.562,7.865193,3.471287659,0.442124194,15,2.9652,2.699981852,0.185841661,32.036,7.4115174,3.582906116,0.350297331,41.253,9.006795,3.891841846,0.437652615,192,1.4826,5.579271308,0.486932859,36120,9644.313,10.58268787,0.351854072,1097,71.1648,6.999782424,0.06453,22.76923077,5.489421538,3.120425188,0.230586998,9.749496394,3.489764097,2.232844727,0.36840855,16.211,5.3254992,2.811995988,0.337779164,143,34.0998,4.957460959,0.285258329,143.99,33.239892,4.963373847,0.282851112,20.817,6.7057998,3.033830999,0.330566166,210,51.891,5.346717784,0.273922655,68074,17583.636,11.11211821,0.280191774,470,63.7518,6.148746496,0.138913188,27.947,9.5538744,3.343540525,0.397122535,125.5,42.2541,4.815832323,0.322561686,126.17,43.1451426,4.82039309,0.319496506,34.768,11.5301802,3.553391528,0.380134066,230,74.13,5.438131229,0.302106606,141270,47754.546,11.8203843,0.309604256,1098,71.1648,6.999990656,0.064530165,1.122302158,0.206172547,0.141628636,0.226996924,1.124113475,0.22558816,0.142980756,0.211127258,40.763,12.7043994,3.74972789,0.369168154,298,63.7518,5.733976103,0.235808956,301.76,64.241058,5.744355559,0.238426841,52.42,17.0335914,4.006605862,0.376657706,519,177.912,6.27814466,0.332707612,144870,39540.942,11.89310763,0.249547244,470,63.7518,6.148746496,0.138913188,49.711,19.3953732,3.959754687,0.414491378,200,69.6822,5.32074702,0.329035991,209.24,71.891274,5.368210416,0.328510922,65.879,23.0277432,4.227792596,0.404815845,543,201.6336,6.314749393,0.386562156,228640,77302.764,12.36820341,0.319568447,1098,71.1648,6.999990656,0.064530165,1.484,0.275705459,0.413229083,0.209610178,1.438777064,0.279022743,0.376145143,0.202187882
2,B5,HCEC,DAPI,FITC,TRITC,TI16.WaT,Hoechst,Smad23,CTNNB1,RPMI+5%FBS,1,2hrs,ctrl,ctrl+aTGFB,aTGFB,0.462184874,275,48.947,15.2737452,3.907902023,0.331211725,317,48.9258,5.781159108,0.158827635,318.45,47.07255,5.780976815,0.15127672,60.93,18.6333168,4.12441881,0.330367764,502,100.8168,6.243307657,0.211434172,145910,16619.946,11.9162106,0.10659536,462,62.2692,6.135231197,0.140347706,25.24,7.1075844,3.341488361,0.413588514,14,1.4826,2.66225534,0.174251752,29.73,6.6983868,3.484268807,0.318910953,38.596,7.4693388,3.779421156,0.385246251,192,1.4826,5.480850222,0.411956808,33103,8416.7202,10.48507018,0.324296874,1103,65.2344,7.00080138,0.062335914,22.69230769,4.535235385,3.118903768,0.220036876,10.6415977,3.398136672,2.296708008,0.35965182,15.569,4.7176332,2.780058687,0.339537143,126,29.652,4.884883485,0.273754367,127.82,32.157594,4.894027184,0.271548633,19.252,5.8399614,3.003045737,0.336011442,194,51.891,5.306322646,0.271670065,61001,15239.6454,11.02925667,0.277505117,462,62.2692,6.135231197,0.140347706,24.834,9.688791,3.232787382,0.41548531,110,34.8411,4.709571489,0.330261362,110.58,36.279222,4.722195256,0.32933893,30.619,12.1751112,3.457351966,0.417998397,210,62.2692,5.392105201,0.368739713,122880,37539.432,11.7231901,0.318251747,1103,65.2344,7.000992538,0.062294723,1.177570093,0.189135421,0.175311996,0.179462613,1.184169207,0.201349537,0.171831928,0.177617098,39.911,11.9630994,3.713827639,0.341054952,289,57.8214,5.693312965,0.218571384,291.22,60.801426,5.700163776,0.223318639,50.982,16.6777674,3.963307056,0.350729463,471,149.7426,6.211077583,0.326715694,138490,32276.202,11.8353993,0.234900285,462,62.2692,6.135231197,0.140347706,47.542,19.7882622,3.859703055,0.429315986,182,57.8214,5.219307658,0.306033141,195.04,57.361794,5.271770703,0.308582657,61.99,25.1567568,4.143543185,0.425984657,485,183.8424,6.246326,0.414628877,213100,61720.638,12.27275976,0.300739353,1103,65.2344,7.000986437,0.062286623,1.591346154,0.277509118,0.474005307,0.167744693,1.516990291,0.249059379,0.428393073,0.164621416
3,B6,HCEC,DAPI,FITC,TRITC,TI16.WaT,Hoechst,Smad23,CTNNB1,RPMI+5%FBS,1,2hrs,Wnt3A,Wnt3A+ctrl,ctrl,0.436137072,280,54.804,16.1744247,4.011709789,0.311190897,329.5,46.7019,5.814061168,0.146149289,332.985,45.36756,5.815726218,0.139840655,68.516,19.7126496,4.225670017,0.309640512,532,111.195,6.293726554,0.198374842,160100,15767.451,11.97539539,0.091520663,472.5,55.5975,6.159666033,0.126961567,27.366,8.5271739,3.387734602,0.424209175,14,1.4826,2.702634282,0.187536526,31.751,8.4070833,3.529026458,0.327872319,39.9295,8.1609717,3.828797503,0.412876372,192,1.4826,5.542543111,0.462305888,34796.5,9330.7431,10.5342226,0.329933829,1101.5,58.5627,7.005195531,0.056916989,22.89761905,4.31719,3.111426887,0.222862423,10.48228701,3.363343927,2.28669976,0.352590847,16.1255,5.0645616,2.816724086,0.345839396,129.75,35.21175,4.870860994,0.281329978,131.105,36.264396,4.878865603,0.280098288,20.0625,6.137964,3.039101517,0.342557622,196,50.4084,5.294871993,0.281128714,62054,16640.7024,11.03852957,0.286608283,472.5,55.5975,6.159666033,0.126961567,25.776,10.3159308,3.276849828,0.415756115,104.75,36.69435,4.672046228,0.346173285,104.335,35.0145642,4.681971738,0.344796911,32.2725,12.2529477,3.491469161,0.407293102,208,68.1996,5.355674847,0.332386354,115520,36696.5739,11.68729892,0.335662903,1101.5,58.5627,7.005322241,0.056962358,1.218070652,0.238780358,0.198814766,0.210594874,1.235561838,0.236226525,0.196893865,0.206589553,42.584,14.5153953,3.77929785,0.330617312,299,73.3887,5.715783059,0.230507488,303.1,71.661471,5.724719983,0.231559984,53.34,17.8720017,4.023877733,0.339558185,494.5,147.5187,6.237473797,0.322220243,144555,34033.083,11.88438953,0.249271285,472.5,55.5975,6.159666033,0.126961567,50.471,21.0684873,3.926530332,0.413722621,198,62.2692,5.280934459,0.320758186,207.375,64.871163,5.327159628,0.320260892,65.8335,25.2679518,4.193126893,0.407907797,517,206.0814,6.259702597,0.413614371,226495,72766.008,12.33247321,0.316752019,1101.5,58.5627,7.005309573,0.056957339,1.541186441,0.292383533,0.4348486,0.192177583,1.467444812,0.268349233,0.397560356,0.191079116
4,B7,HCEC,DAPI,FITC,TRITC,TI16.WaT,Hoechst,Smad23,CTNNB1,RPMI+5%FBS,1,2hrs,Wnt3A,Wnt3A+aTGFB,aTGFB,0.4375,280,55.032,19.696341,4.04312515,0.333905858,338,65.2344,5.835292117,0.169753632,338.895,62.988261,5.836317834,0.162439914,68.548,24.4992237,4.259819238,0.334055089,553.5,126.021,6.33054755,0.221201033,158860,14885.304,11.97871092,0.095799629,472,62.2692,6.142391046,0.145490468,24.203,7.9667511,3.279791359,0.421894554,13,1.4826,2.637216861,0.159749636,28.8435,7.1616993,3.435009907,0.318044621,37.199,8.2321365,3.742367927,0.382132502,192,1.4826,5.467106245,0.404235531,32048.5,8540.5173,10.43747462,0.330637561,1103.5,68.1996,7.002465747,0.069045205,25.10989011,5.441630769,3.198075255,0.215130427,11.69083269,4.263097871,2.401307927,0.37040677,14.7835,5.1238656,2.709334906,0.355314517,113,32.98785,4.724970578,0.329982869,112.705,31.7950983,4.732719511,0.326735336,18.389,6.1268445,2.931162296,0.349028828,173.5,50.4084,5.169750048,0.307964253,53685.5,18155.9196,10.87511136,0.333658692,472,62.2692,6.142391046,0.145490468,25.2555,9.5323767,3.239208863,0.400226083,99,34.0998,4.580395969,0.358054022,98.0855,33.2354442,4.580040086,0.354756361,30.94,11.4775479,3.449705751,0.388572817,188,56.3388,5.276720185,0.327442261,108215,39898.9899,11.58258371,0.351422348,1103.5,68.1996,7.002540066,0.069050419,1.139303104,0.194259987,0.144574609,0.190953722,1.171237107,0.182373211,0.152679424,0.18635501,41.206,13.7407368,3.738472888,0.32886485,295.25,68.57025,5.694954453,0.233810361,294.4,66.946803,5.701805259,0.232928398,51.976,17.9142558,3.980383736,0.337041345,465,137.1405,6.199416626,0.316049139,141500,36338.526,11.84419923,0.264943137,472,62.2692,6.142391046,0.145490468,46.7055,18.0840135,3.880430109,0.382061906,181,50.4084,5.231367065,0.296485272,187.425,53.59599,5.26858457,0.302542279,60.6705,23.358363,4.145544187,0.375467137,490.5,159.3795,6.210403061,0.377915407,209070,59244.696,12.27112604,0.30255704,1103.5,68.1996,7.002539654,0.06905611,1.568768473,0.278842636,0.463587388,0.193960127,1.520268544,0.284835041,0.43322069,0.19370937
5,B8,HCEC,DAPI,FITC,TRITC,TI16.WaT,Hoechst,Smad23,CTNNB1,RPMI+5%FBS,1,2hrs,TGFB3,TGFB3+ctrl,ctrl,0.429967427,264,53.6965,13.439769,4.000490669,0.301495929,328,42.9954,5.804688522,0.151709805,328.375,42.432012,5.808403498,0.145092949,66.8215,17.205573,4.218682851,0.30360284,541.5,108.9711,6.305703122,0.210123889,157080,13943.853,11.97362034,0.088114365,480,52.6323,6.165214413,0.127130548,24.3205,6.0979338,3.353025632,0.418883062,14,1.4826,2.691037109,0.153649284,29.214,5.1082983,3.500563412,0.318762527,37.983,6.9215181,3.796961286,0.394442144,192,1.4826,5.509957292,0.420618887,33073.5,7397.4327,10.50889829,0.322396022,1107,57.8214,7.008335243,0.060333497,22.49803922,4.146392308,3.113651414,0.201016541,10.63545933,3.364392921,2.307840085,0.350109941,68.627,28.1938629,4.216280336,0.405756907,397.5,110.4537,5.984800036,0.312921952,393.97,109.957029,5.97492981,0.309440641,84.7625,35.4400704,4.42349916,0.402838123,599.5,186.8076,6.392794434,0.322340636,185680,63573.888,12.14014733,0.330502403,480,52.6323,6.165214413,0.127130548,31.699,11.319651,3.486529926,0.39745851,114.5,28.9107,4.7413604,0.265287104,124.91,32.683917,4.832480571,0.265510028,44.5645,18.1796412,3.859384086,0.428779755,380.5,143.8122,5.97396908,0.359611609,137800,34033.083,11.84092075,0.262220534,1107,57.8214,7.008434756,0.060382431,3.485912698,0.929037267,1.243439635,0.285928434,3.154232031,0.843125421,1.142449239,0.273680113,46.344,12.7192254,3.883691889,0.330801419,331.5,71.9061,5.81350776,0.217497088,334.885,74.211543,5.825931193,0.219190254,59.847,18.2671146,4.132749836,0.345991054,554.5,162.3447,6.359016348,0.328095759,162340,39540.942,11.99114931,0.240670241,480,52.6323,6.165214413,0.127130548,53.605,21.8438871,3.993873295,0.405363147,209,67.08765,5.380232667,0.2972688,224.235,68.118057,5.434087667,0.29827354,69.5245,27.2449989,4.276110511,0.395842195,599,247.5942,6.406415526,0.376364647,248465,75138.168,12.44252611,0.29540006,1107,57.8214,7.008434756,0.060382431,1.534737458,0.290525938,0.433275093,0.176167849,1.481720352,0.245627999,0.391843526,0.177781711
6,B9,HCEC,DAPI,FITC,TRITC,TI16.WaT,Hoechst,Smad23,CTNNB1,RPMI+5%FBS,1,2hrs,TGFB3,TGFB3+aTGFB,aTGFB,0.434306569,238,57.0795,17.6481291,4.042101204,0.301308147,342.5,55.5975,5.835290838,0.147355412,341,53.158623,5.835502735,0.139242059,70.7995,21.786807,4.260916776,0.298651182,552,106.0059,6.324135617,0.190810313,161670,14158.83,11.99384067,0.082219582,477.5,56.3388,6.158335106,0.123721503,25.3255,6.8088405,3.35594796,0.421463689,14,1.4826,2.661871661,0.172858801,29.136,6.3099456,3.491565109,0.329250978,37.7005,6.3477519,3.798495547,0.397531885,192,1.4826,5.515038263,0.429741534,32475.5,8166.1608,10.49212419,0.333509908,1099,57.8214,7.000559618,0.054173668,24.25833333,5.851217955,3.173419177,0.220847473,10.97076714,3.670643685,2.343937626,0.366142577,14.8625,4.477452,2.743215155,0.356129874,120.75,30.76395,4.790133149,0.29255335,120.81,30.326583,4.799634448,0.290579921,18.713,5.6094171,2.966470669,0.349709854,183,42.9954,5.228185292,0.286665598,57358,14407.1655,10.95796903,0.307091216,477.5,56.3388,6.158335106,0.123721503,24.825,9.5612874,3.234066425,0.407826247,103,32.6172,4.634506502,0.325695717,103.05,34.7943981,4.644733482,0.322915005,30.3285,11.149152,3.444179678,0.393489205,203.5,60.0453,5.324317816,0.30166803,113935,36875.2272,11.6454188,0.323113519,1099,57.8214,7.000679724,0.054216808,1.150775583,0.187183429,0.155626647,0.186009836,1.156964708,0.197933351,0.154900966,0.181063078,39.561,11.8400436,3.691003434,0.323965943,284,65.2344,5.656609231,0.229077102,288.6,64.960119,5.665946579,0.228253742,50.2865,16.5339552,3.944673903,0.345117411,486.5,154.9317,6.201717254,0.349454416,137335,35374.836,11.82428353,0.261021438,477.5,56.3388,6.158335106,0.123721503,46.73,19.0091559,3.807878942,0.398222574,190.5,58.19205,5.23244714,0.283045869,201.575,59.177979,5.272876257,0.28546979,60.094,25.5763326,4.07857973,0.389670648,505.5,183.1011,6.215326238,0.386986932,218260,60245.451,12.27355357,0.286357695,1099,57.8214,7.000675643,0.054221635,1.531524679,0.258612327,0.424162091,0.18410513,1.489605011,0.248880327,0.393070322,0.179795614
7,B10,HCEC,DAPI,FITC,TRITC,TI16.WaT,Hoechst,Smad23,CTNNB1,RPMI+5%FBS,2,2hrs,ctrl,ctrl+ctrl,ctrl,0.400352734,227,54.56,17.5109886,4.019790401,0.331672684,329.5,49.6671,5.822349533,0.165368103,330.08,47.458026,5.821997101,0.15780783,68.028,22.713432,4.233492982,0.330921253,526,114.1602,6.30449763,0.217121725,158620,15997.254,11.97817924,0.09668457,474,51.891,6.156178724,0.13440898,26.65,7.0527282,3.366398941,0.407004977,14,1.4826,2.669686541,0.174092947,30.715,6.3292194,3.504021871,0.320264897,39.577,6.9103986,3.792608502,0.385176444,192,1.4826,5.475616051,0.410013134,34371,7709.52,10.50592881,0.326630665,1102,59.304,7.001907492,0.062449025,23.46153846,5.104923077,3.152662992,0.222497041,10.66732219,3.381410031,2.317975229,0.363772561,14.269,4.855515,2.706026094,0.369292118,119,29.652,4.767776407,0.296446389,118.85,28.554876,4.777257343,0.295035351,17.747,5.8458918,2.926899922,0.362349796,177,47.4432,5.200103779,0.292939158,55938,16800.8232,10.93343792,0.30566689,474,51.891,6.156178724,0.13440898,25.462,9.4767792,3.226776497,0.402374433,98.5,30.3933,4.605821834,0.342637012,99.348,31.5230412,4.610141673,0.338924283,31.19,11.3211336,3.438016986,0.387325532,196,54.8562,5.282712377,0.322498879,111060,35321.4624,11.61213728,0.339904935,1102,59.304,7.0019944,0.062467432,1.171717172,0.215504804,0.161954573,0.193974976,1.185414614,0.231031731,0.16711567,0.188528316,37.55,11.7881526,3.67406007,0.366805972,278,62.2692,5.62926749,0.240314796,280.4,60.994164,5.640531139,0.242387368,47.918,15.7689336,3.924324428,0.389247144,455,139.3644,6.162344608,0.349503705,132610,34159.104,11.79671333,0.268179892,474,51.891,6.156178724,0.13440898,44.577,14.4242154,3.811221247,0.390912724,167,41.5128,5.154769035,0.289312168,176.36,45.545472,5.207136718,0.293316103,58.154,18.9372498,4.092902512,0.387421784,477,160.1208,6.189203881,0.377020183,197690,47472.852,12.20913154,0.29541472,1102,59.304,7.0019944,0.062467432,1.619354839,0.302709222,0.474498455,0.181709848,1.551132951,0.309098897,0.433394421,0.182607871
8,B11,HCEC,DAPI,FITC,TRITC,TI16.WaT,Hoechst,Smad23,CTNNB1,RPMI+5%FBS,2,2hrs,ctrl,ctrl+aTGFB,aTGFB,0.408223201,278,53.5785,16.0328364,3.998552673,0.312129784,331,48.1845,5.814768179,0.153554119,329.615,46.25712,5.813614389,0.143753846,66.589,19.8060534,4.214749282,0.309452515,530,97.1103,6.297438481,0.199124389,154430,16538.403,11.94991769,0.097666769,469,57.8214,6.136299865,0.131308659,27.507,7.961562,3.421927596,0.481188025,14,2.9652,2.701484613,0.280482157,31.0855,7.9926966,3.549490303,0.405100016,40.493,8.3218338,3.845497301,0.432850264,192,1.4826,5.533840383,0.435959069,34552.5,9609.4719,10.54779321,0.407761522,1102,60.7866,6.998301576,0.062539021,23.4974359,5.192901538,3.113283566,0.294619902,10.49445098,3.32108605,2.264124086,0.416643386,17.022,6.4315188,2.850308714,0.372830786,130,39.2889,4.879888608,0.318897175,130.715,40.200699,4.88920756,0.317291665,21.2525,7.9882488,3.070637691,0.363279481,201,61.5279,5.320125005,0.301067913,60285.5,17950.5795,11.02550671,0.326878284,469,57.8214,6.136299865,0.131308659,27.492,10.3478067,3.33578352,0.377731841,111.5,38.17695,4.715165029,0.365154615,114.34,38.5120176,4.729938764,0.36114922,34.446,13.1966226,3.550651592,0.370165822,221,66.717,5.412973854,0.335784101,126620,43310.4525,11.72839063,0.359971047,1102,61.5279,6.998449561,0.062587802,1.158575943,0.218125165,0.164723578,0.199580078,1.153309649,0.211280831,0.159268797,0.193720359,40.1395,11.7933417,3.754744885,0.339943147,288.5,67.4583,5.671864832,0.234641708,289.05,72.373119,5.684676691,0.236882085,52.1935,16.3664214,4.003007836,0.35488432,494,171.2403,6.227396685,0.340761592,134105,34915.23,11.82098011,0.262185921,469,57.8214,6.136299865,0.131308659,49.9205,19.1492616,3.903103038,0.405164789,193,64.4931,5.257353345,0.34464165,202.43,66.561327,5.304277734,0.341315877,64.3925,24.203445,4.172585771,0.394878282,527.5,200.8923,6.263698392,0.413907142,224475,76754.202,12.30272989,0.342983853,1102,61.5279,6.998449561,0.062587802,1.490047534,0.28123371,0.414511487,0.194215575,1.440529087,0.252753702,0.380398957,0.189224627
9,B12,HCEC,DAPI,FITC,TRITC,TI16.WaT,Hoechst,Smad23,CTNNB1,RPMI+5%FBS,2,2hrs,Wnt3A,Wnt3A+ctrl,ctrl,0.405872193,235,52.808,17.954286,4.016813186,0.341634497,321,52.6323,5.789986256,0.181684548,320.28,48.70341,5.788395525,0.175326363,66.133,21.9306192,4.23612157,0.338067844,525,109.7124,6.287296003,0.223462851,153170,13669.572,11.94666472,0.092059816,471,78.5778,6.158267823,0.167250687,24.367,9.0112428,3.265837262,0.541098376,14,1.4826,2.669545797,0.196106978,29.054,8.3603814,3.452526283,0.388603394,37.536,9.6576564,3.71398479,0.500824726,192,4.4478,5.433753229,0.488856578,31361,8526.4326,10.45619243,0.381016399,1099,78.5778,7.003663958,0.070898474,22.78571429,5.16792,3.120440459,0.238949231,11.27088036,3.681796266,2.335869243,0.394029158,17.848,5.8977828,2.895603506,0.359499656,141,38.5476,4.95505152,0.296510398,141.76,36.012354,4.962077174,0.294493681,22.315,7.5671904,3.113810364,0.350801505,212,56.3388,5.369338235,0.288289318,66166,18676.3122,11.12034353,0.306476841,471,78.5778,6.158267823,0.167250687,27.084,10.4167476,3.308578082,0.404582699,108,29.652,4.721374723,0.357612252,110.2,32.9670936,4.73605233,0.348532822,33.222,13.1373186,3.523555307,0.394073222,224,68.1996,5.424448623,0.324613584,123050,33729.15,11.7398944,0.333008155,1099,78.5778,7.003840661,0.070796828,1.263157895,0.243035855,0.233676797,0.226768094,1.257997936,0.250058416,0.226024844,0.210539077,44.827,13.63992,3.811708829,0.344840064,314,63.7518,5.758049487,0.242559992,315.89,61.409292,5.766136428,0.241785746,56.535,17.205573,4.050812382,0.349123005,514,134.9166,6.274680921,0.314099666,151980,39926.418,11.92440598,0.274587042,471,78.5778,6.158267823,0.167250687,52.095,20.1351906,3.96946549,0.4235026,200,57.8214,5.32810344,0.322395385,207.33,59.956344,5.368294587,0.328783762,67.258,26.2953936,4.239997189,0.414459969,539,201.6336,6.317921993,0.404688894,235230,65412.312,12.37214152,0.316215116,1099,78.5778,7.003844556,0.070796407,1.541501976,0.350302503,0.429946048,0.207643122,1.466513984,0.325277943,0.397841841,0.203613618
10,B13,HCEC,DAPI,FITC,TRITC,TI16.WaT,Hoechst,Smad23,CTNNB1,RPMI+5%FBS,2,2hrs,Wnt3A,Wnt3A+aTGFB,aTGFB,0.438948995,284,54.6295,17.8149216,4.006804679,0.328497957,329.5,50.03775,5.811931628,0.163214035,330.62,49.177842,5.816921747,0.158400121,67.7815,22.0692423,4.227059763,0.328004232,535,113.4189,6.309248015,0.217415903,155740,15730.386,11.95403439,0.09206414,465,66.717,6.137109779,0.147007268,25.1235,8.9526801,3.394964508,0.524441869,15,1.4826,2.720105358,0.172572955,29.866,7.2617748,3.54192891,0.388337441,38.489,9.3937536,3.863758485,0.482210565,192,2.9652,5.600707704,0.494339352,33558.5,9621.3327,10.53763989,0.393099053,1095,71.9061,6.995710206,0.071277967,22.14732143,4.825577885,3.09182627,0.234795499,10.40309125,4.079941256,2.274992837,0.412387183,17.5155,5.9556042,2.915901845,0.339653248,172.5,43.7367,5.153913986,0.253001125,172.675,42.446838,5.159723202,0.252709142,21.919,7.1520624,3.137670729,0.333268664,247,61.5279,5.520998349,0.259854288,78653,19402.7862,11.29683243,0.265118823,465,66.717,6.137109779,0.147007268,29.415,11.0068224,3.398470731,0.389116714,149,37.8063,5.04068826,0.269172124,149.78,37.613562,5.051148837,0.265775394,35.7655,13.7933691,3.611650507,0.380154555,267.5,73.3887,5.630424585,0.28020294,164960,40682.544,12.04699847,0.259386128,1095,71.1648,6.995847607,0.071245083,1.098465989,0.153262801,0.113225726,0.154522033,1.099785355,0.154059182,0.108574365,0.146462182,47.2035,15.2537301,3.8900053,0.337000321,329,72.6474,5.815032298,0.239818739,330.625,75.086277,5.827256937,0.240657324,60.159,20.6459463,4.133169265,0.344318486,548,175.6881,6.359478216,0.319619936,154745,38629.143,11.96437153,0.272386191,465,66.717,6.137109779,0.147007268,57.7965,23.57334,4.076552437,0.400248319,222.25,67.08765,5.427102321,0.30956355,232.3,70.341957,5.472456499,0.308952495,75.314,30.1130886,4.344540988,0.392626746,604,243.1464,6.420396943,0.374326768,254445,78837.255,12.46829246,0.305467702,1095,71.1648,6.995835103,0.071239629,1.477461538,0.242974304,0.387929978,0.204169223,1.423202626,0.242294985,0.354800438,0.194305565
