,well,celltype,channel.1,channel.2,channel.3,experiment,media.overnight,media.treatment,rep,time.treatment,treatment,marker.1,marker.2,marker.3,G1,n,mad_nucleus.median.1,mad_nucleus.mad.1,mad_nucleus.logmean.1,mad_nucleus.logsd.1,median_nucleus.median.1,median_nucleus.mad.1,median_nucleus.logmean.1,median_nucleus.logsd.1,mean_nucleus.median.1,mean_nucleus.mad.1,mean_nucleus.logmean.1,mean_nucleus.logsd.1,std_nucleus.median.1,std_nucleus.mad.1,std_nucleus.logmean.1,std_nucleus.logsd.1,max_nucleus.median.1,max_nucleus.mad.1,max_nucleus.logmean.1,max_nucleus.logsd.1,sum_nucleus.median.1,sum_nucleus.mad.1,sum_nucleus.logmean.1,sum_nucleus.logsd.1,length_nucleus.median.1,length_nucleus.mad.1,length_nucleus.logmean.1,length_nucleus.logsd.1,mad_halo.median.1,mad_halo.mad.1,mad_halo.logmean.1,mad_halo.logsd.1,median_halo.median.1,median_halo.mad.1,median_halo.logmean.1,median_halo.logsd.1,mean_halo.median.1,mean_halo.mad.1,mean_halo.logmean.1,mean_halo.logsd.1,std_halo.median.1,std_halo.mad.1,std_halo.logmean.1,std_halo.logsd.1,max_halo.median.1,max_halo.mad.1,max_halo.logmean.1,max_halo.logsd.1,sum_halo.median.1,sum_halo.mad.1,sum_halo.logmean.1,sum_halo.logsd.1,length_halo.median.1,length_halo.mad.1,length_halo.logmean.1,length_halo.logsd.1,median_nucleus.div.median_halo.median.1,median_nucleus.div.median_halo.mad.1,median_nucleus.div.median_halo.logmean.1,median_nucleus.div.median_halo.logsd.1,mean_nucleus.div.mean_halo.median.1,mean_nucleus.div.mean_halo.mad.1,mean_nucleus.div.mean_halo.logmean.1,mean_nucleus.div.mean_halo.logsd.1,mad_nucleus.median.2,mad_nucleus.mad.2,mad_nucleus.logmean.2,mad_nucleus.logsd.2,median_nucleus.median.2,median_nucleus.mad.2,median_nucleus.logmean.2,median_nucleus.logsd.2,mean_nucleus.median.2,mean_nucleus.mad.2,mean_nucleus.logmean.2,mean_nucleus.logsd.2,std_nucleus.median.2,std_nucleus.mad.2,std_nucleus.logmean.2,std_nucleus.logsd.2,max_nucleus.median.2,max_nucleus.mad.2,max_nucleus.logmean.2,max_nucleus.logsd.2,sum_nucleus.median.2,sum_nucleus.mad.2,sum_nucleus.logmean.2,sum_nucleus.logsd.2,length_nucleus.median.2,length_nucleus.mad.2,length_nucleus.logmean.2,length_nucleus.logsd.2,mad_halo.median.2,mad_halo.mad.2,mad_halo.logmean.2,mad_halo.logsd.2,median_halo.median.2,median_halo.mad.2,median_halo.logmean.2,median_halo.logsd.2,mean_halo.median.2,mean_halo.mad.2,mean_halo.logmean.2,mean_halo.logsd.2,std_halo.median.2,std_halo.mad.2,std_halo.logmean.2,std_halo.logsd.2,max_halo.median.2,max_halo.mad.2,max_halo.logmean.2,max_halo.logsd.2,sum_halo.median.2,sum_halo.mad.2,sum_halo.logmean.2,sum_halo.logsd.2,length_halo.median.2,length_halo.mad.2,length_halo.logmean.2,length_halo.logsd.2,median_nucleus.div.median_halo.median.2,median_nucleus.div.median_halo.mad.2,median_nucleus.div.median_halo.logmean.2,median_nucleus.div.median_halo.logsd.2,mean_nucleus.div.mean_halo.median.2,mean_nucleus.div.mean_halo.mad.2,mean_nucleus.div.mean_halo.logmean.2,mean_nucleus.div.mean_halo.logsd.2,mad_nucleus.median.3,mad_nucleus.mad.3,mad_nucleus.logmean.3,mad_nucleus.logsd.3,median_nucleus.median.3,median_nucleus.mad.3,median_nucleus.logmean.3,median_nucleus.logsd.3,mean_nucleus.median.3,mean_nucleus.mad.3,mean_nucleus.logmean.3,mean_nucleus.logsd.3,std_nucleus.median.3,std_nucleus.mad.3,std_nucleus.logmean.3,std_nucleus.logsd.3,max_nucleus.median.3,max_nucleus.mad.3,max_nucleus.logmean.3,max_nucleus.logsd.3,sum_nucleus.median.3,sum_nucleus.mad.3,sum_nucleus.logmean.3,sum_nucleus.logsd.3,length_nucleus.median.3,length_nucleus.mad.3,length_nucleus.logmean.3,length_nucleus.logsd.3,mad_halo.median.3,mad_halo.mad.3,mad_halo.logmean.3,mad_halo.logsd.3,median_halo.median.3,median_halo.mad.3,median_halo.logmean.3,median_halo.logsd.3,mean_halo.median.3,mean_halo.mad.3,mean_halo.logmean.3,mean_halo.logsd.3,std_halo.median.3,std_halo.mad.3,std_halo.logmean.3,std_halo.logsd.3,max_halo.median.3,max_halo.mad.3,max_halo.logmean.3,max_halo.logsd.3,sum_halo.median.3,sum_halo.mad.3,sum_halo.logmean.3,sum_halo.logsd.3,length_halo.median.3,length_halo.mad.3,length_halo.logmean.3,length_halo.logsd.3,median_nucleus.div.median_halo.median.3,median_nucleus.div.median_halo.mad.3,median_nucleus.div.median_halo.logmean.3,median_nucleus.div.median_halo.logsd.3,mean_nucleus.div.mean_halo.median.3,mean_nucleus.div.mean_halo.mad.3,mean_nucleus.div.mean_halo.logmean.3,mean_nucleus.div.mean_halo.logsd.3
1,C3,MALME3M,DAPI,FITC,TRITC,1,RPMI+5%FBS,RPMI+5%FBS,1,120,ctrl+ctrl,Hoechst,Smad23,,0.615384615,224,164.09,66.116547,5.109319899,0.387893525,883.25,180.50655,6.811997374,0.208846755,879.99,172.50051,6.79497855,0.190618106,203.33,78.555561,5.304502094,0.377729935,1361,325.4307,7.207543766,0.213402117,321725,44952.432,12.68515735,0.125484927,373,63.7518,5.890176288,0.189335474,96.037,11.3448552,4.56959127,0.134028135,82,37.43565,4.448853612,0.391508263,129.305,32.253963,4.892330376,0.224011376,117.85,10.074267,4.786904334,0.116095602,448,4.4478,6.17542939,0.190785678,47599.5,14109.9042,10.77337293,0.270671649,363,27.4281,5.881043183,0.082434819,10.52808327,5.433855925,2.363143763,0.525632922,6.553290657,2.51332062,1.902648173,0.364210878,91.1525,39.6180372,4.425173454,0.516645016,579.75,200.8923,6.243264397,0.594390291,567.51,189.320607,6.229404697,0.562965943,113.68,48.7649379,4.631449832,0.511574731,811,274.281,6.603331878,0.480260971,198795,69815.634,12.11958344,0.590858513,373,63.7518,5.890176288,0.189335474,76.353,30.8966427,4.349311107,0.590923221,195.5,60.41595,5.248975482,0.591491938,203.785,62.232135,5.289662796,0.512821902,94.759,35.1917349,4.556956914,0.564169466,474,156.4143,6.140210558,0.464432255,74284.5,22822.4031,11.17050355,0.512497409,363,27.4281,5.880840366,0.082640247,2.702304603,0.817393275,0.994288915,0.325423317,2.552255804,0.777566696,0.939741901,0.333330479,1.9159,0.38280732,0.678489731,0.206423575,9,2.9652,2.254524469,0.305560164,9.4079,2.77327743,2.262245392,0.299402816,2.40305,0.48436542,0.908344709,0.210953322,16.5,3.7065,2.830938137,0.259115141,3427.5,908.0925,8.15165489,0.280659622,372.5,63.0105,5.889407934,0.189038523,2.3869,0.6330702,0.894400663,0.27086839,8,1.4826,2.039369251,0.284257634,7.59705,1.79876445,2.062314432,0.274830048,2.9585,0.77436198,1.104158063,0.26316913,16,4.4478,2.813204819,0.249191823,2704,688.6677,7.932419831,0.28000581,360,26.6868,5.870105827,0.086223769,1.2,0.14826,0.215155218,0.177505015,1.186223676,0.137866531,0.19993096,0.144822367
2,C4,MALME3M,DAPI,FITC,TRITC,1,RPMI+5%FBS,RPMI+5%FBS,1,120,ctrl+TGFB3,Hoechst,Smad23,,0.645702306,308,162.345,63.180999,5.107945014,0.36391153,909,171.2403,6.843658038,0.205733476,904.04,165.332139,6.827721489,0.18634879,199.245,74.915778,5.301622793,0.354197763,1374.5,259.455,7.226307185,0.195424946,324445,42476.49,12.69155855,0.117988446,363,59.304,5.863834315,0.188975746,100.49,16.8364056,4.634942941,0.188435091,92.75,40.40085,4.490956004,0.451630848,138.65,35.923398,4.951078499,0.276103604,124.06,18.917976,4.854127974,0.174837232,449,29.652,6.22632492,0.220409688,50184.5,14923.8516,10.82042006,0.313457731,360,26.6868,5.869342712,0.084873999,9.991489362,5.640638659,2.352702034,0.557297367,6.64516281,2.577331282,1.876642989,0.374081013,118.505,45.8004792,4.700609842,0.566770494,687,205.3401,6.440685832,0.531878148,676.03,189.068565,6.420863857,0.525030109,148.21,55.182372,4.907118741,0.560507497,981,291.3309,6.81140307,0.486948458,238530,73611.09,12.28469169,0.554325218,363,59.304,5.863825805,0.188972118,74.5665,22.7289993,4.330337361,0.491452493,171.75,53.74425,5.13358733,0.4891246,188.21,57.865878,5.222274813,0.462964011,96.371,32.5882893,4.565624005,0.469419966,511,167.5338,6.205962074,0.421257236,66930.5,22053.675,11.09130245,0.457754053,360,26.6868,5.869026366,0.084820346,3.791128627,1.4164485,1.307098502,0.378327761,3.361150954,1.077452163,1.198589044,0.338461444,1.86235,0.36805545,0.650945281,0.195664422,9,2.9652,2.254895886,0.336225647,8.9906,2.50166511,2.260224309,0.330839681,2.34335,0.44144415,0.880481967,0.187388935,16,4.4478,2.828202638,0.259296918,3312,901.4208,8.123248989,0.324952409,363,59.304,5.863025135,0.188905408,2.2288,0.55338045,0.836958483,0.252592279,7,1.4826,2.042110154,0.35031362,7.3765,1.98319989,2.063360249,0.337897275,2.77785,0.63907473,1.04991853,0.240549244,15,2.9652,2.792565557,0.267802161,2628,732.4044,7.92133644,0.341243439,357,27.4281,5.857976302,0.088689908,1.181818182,0.121303636,0.212785732,0.164234307,1.182443567,0.111048509,0.19686406,0.124127441
3,C5,MALME3M,DAPI,FITC,TRITC,1,RPMI+5%FBS,RPMI+5%FBS,1,120,TGFB3+ctrl,Hoechst,Smad23,,0.648058252,267,146.79,49.251972,5.026460636,0.347476509,860,152.7078,6.779213688,0.195717411,843.83,142.122036,6.763467825,0.175097148,182.05,60.000822,5.225471014,0.338820485,1276,244.629,7.169863001,0.183356674,316710,43025.052,12.66576292,0.125561137,374,59.304,5.90229374,0.186353823,96.064,12.5620698,4.552705282,0.149072872,77,38.5476,4.346713754,0.435720937,126.28,34.500102,4.846351791,0.240353566,118.26,11.964582,4.778302689,0.122305905,448,4.4478,6.158749872,0.153497708,45791,13774.8366,10.73022996,0.280628377,360,26.6868,5.883879712,0.082396586,11.125,6.493939286,2.432499934,0.530488973,6.757966002,2.445710499,1.917116035,0.349886867,120.01,41.349714,4.718820726,0.577081616,676.5,186.0663,6.443415913,0.577405211,662.83,185.888388,6.421067386,0.569314705,147.77,52.395084,4.926309581,0.570073684,956,271.3158,6.813768077,0.510863528,247530,85279.152,12.32312998,0.632187548,374,59.304,5.902060732,0.186580487,72.134,21.304962,4.277396979,0.534985841,164,49.6671,5.09756506,0.525706251,181.48,56.442582,5.204806421,0.48961151,93.184,24.3531876,4.526119864,0.518138132,506,127.5036,6.198074357,0.450907849,67339,19396.8558,11.08741407,0.50746831,360,26.6868,5.882607056,0.084422607,4.036585366,1.391310175,1.345850853,0.387089318,3.503529807,1.089274113,1.216260965,0.356421589,1.8523,0.32454114,0.660550482,0.245987752,9,2.9652,2.240478867,0.30353077,9.163,2.4151554,2.245804553,0.299506921,2.3294,0.41127324,0.888075469,0.242413332,16,2.9652,2.812688255,0.268064807,3400,923.6598,8.146802458,0.310790965,374,59.304,5.900997547,0.186763729,2.1704,0.48644106,0.822747101,0.313594453,8,1.4826,2.043780194,0.298486197,7.6921,1.8525087,2.069015289,0.299822688,2.6853,0.56605668,1.036392766,0.309388261,16,2.9652,2.787719448,0.290583221,2735,681.996,7.944433657,0.30769926,358,28.1694,5.875419432,0.084793585,1.166666667,0.12355,0.196698673,0.162265793,1.164705092,0.098184783,0.176789265,0.123879201
4,C6,MALME3M,DAPI,FITC,TRITC,1,RPMI+5%FBS,RPMI+5%FBS,1,120,TGFB3+TGFB3,Hoechst,Smad23,,0.60952381,320,150.54,54.656049,5.011993116,0.362725434,880.5,177.1707,6.799942849,0.1920737,871.495,159.08298,6.785834046,0.173859718,184.41,64.78962,5.213983406,0.354260364,1331,262.4202,7.190321459,0.186165435,316980,40297.068,12.669843,0.122020712,366.5,61.5279,5.8840078,0.174093487,97.732,16.7985993,4.58704379,0.173152886,67.75,35.21175,4.24658126,0.461918356,123.57,33.721737,4.829168032,0.253982861,122.205,17.991351,4.820240083,0.142074457,496.5,70.4235,6.19196986,0.140886495,43756.5,13360.4499,10.70930491,0.289821824,361.5,26.6868,5.880136578,0.079830319,13.09450549,7.600926053,2.553361589,0.538401633,7.307691826,2.801608153,1.956666014,0.352260505,117.755,44.6218122,4.754862016,0.46217849,683.5,208.3053,6.477708085,0.428602182,673.015,198.193968,6.454957443,0.417558165,145.8,53.714598,4.961716788,0.453742445,969.5,290.5896,6.844319443,0.385206632,239320,83055.252,12.33896794,0.468745343,366.5,61.5279,5.8840078,0.174093487,71.354,21.4962174,4.294594531,0.396264961,157,44.478,5.075837207,0.399222656,173.05,44.322327,5.169821536,0.380271639,92.194,26.2805676,4.547539947,0.375517479,502,131.9514,6.208054498,0.334029019,63578,16953.531,11.04993026,0.392386832,361.5,26.6868,5.880108818,0.079853569,4.258408709,1.468783637,1.401870877,0.369298458,3.728365321,1.082616243,1.285135907,0.323249257,1.79745,0.28161987,0.615047643,0.172099391,8,1.4826,2.15964124,0.283689584,8.4114,2.36645199,2.16567627,0.283626045,2.25105,0.36427482,0.843417711,0.167640105,15,2.9652,2.745708817,0.220070848,3091.5,873.2514,8.0484437,0.312541162,366,61.5279,5.882768044,0.173975303,2.0856,0.39377856,0.758917386,0.214953641,7,1.4826,1.962537167,0.307699654,6.84645,1.88497764,1.972838938,0.303423126,2.56915,0.49326102,0.974977671,0.211573195,15,2.9652,2.71161285,0.250241504,2443.5,691.6329,7.838995266,0.322599467,356.5,28.9107,5.866157739,0.085194999,1.181818182,0.104830303,0.197104073,0.137323722,1.19892348,0.108681411,0.192837332,0.112926744
5,C7,MALME3M,DAPI,FITC,TRITC,2,RPMI+5%FBS,RPMI+5%FBS,1,120,ctrl+ctrl,Hoechst,Smad23,,0.601167315,309,155.89,59.467086,5.036644528,0.355210748,889,176.4294,6.800620517,0.1918913,891.02,160.847274,6.789706878,0.175871721,191.9,70.186284,5.240047036,0.344243295,1356,266.868,7.20133363,0.189403371,319880,41690.712,12.67123808,0.119961151,369,62.2692,5.881530622,0.180184427,98.735,16.538403,4.60650847,0.172056514,72,31.8759,4.284819516,0.426813897,125.58,30.126432,4.853052668,0.234174103,124,17.257464,4.836671739,0.160064749,500,75.6126,6.211289469,0.200336055,45096,12529.4526,10.73098171,0.275232613,360,26.6868,5.877928495,0.081785528,12.62184874,6.914778204,2.515801,0.513058458,7.021713816,2.642387304,1.93665421,0.341688561,80.38,33.50676,4.342956934,0.546275548,530.5,161.6034,6.192754423,0.534461035,520.58,154.887222,6.173645,0.52082792,98.484,41.2711362,4.551454543,0.538745452,738,232.7682,6.540574271,0.475290769,186860,66776.304,12.05517917,0.552835023,369,62.2692,5.881530622,0.180184427,66.509,23.0959428,4.195407625,0.496450476,179.5,46.7019,5.160303681,0.487273342,183.39,49.251972,5.195110414,0.44325482,85.189,29.9070072,4.416717294,0.475391309,440,120.0906,6.041115838,0.407581375,64944,17742.2742,11.07273844,0.446250653,359,28.1694,5.877628606,0.081686861,2.838888889,0.984641521,1.032450742,0.348193794,2.691600607,0.782189282,0.978534586,0.326029697,1.8314,0.30719472,0.638669736,0.186660605,9,2.9652,2.251434832,0.312925958,9.1778,2.66452872,2.24964105,0.315886889,2.2846,0.4010433,0.866286802,0.183652529,16,2.9652,2.812392042,0.242988504,3271,839.1516,8.130121727,0.310467249,368,60.7866,5.880480631,0.179990802,2.2676,0.51283134,0.839411688,0.248167886,7,1.4826,2.044332505,0.321144181,7.5282,1.95465984,2.062800518,0.311663133,2.7871,0.61394466,1.05395898,0.247550798,16,4.4478,2.793645163,0.273094993,2652,747.2304,7.929683989,0.321849345,355,28.1694,5.866882911,0.085107828,1.181818182,0.134781818,0.207102327,0.159541631,1.185158822,0.113969836,0.186840532,0.133209339
6,C8,MALME3M,DAPI,FITC,TRITC,2,RPMI+5%FBS,RPMI+5%FBS,1,120,ctrl+BMP4,Hoechst,Smad23,,0.653775322,355,149.68,48.599628,5.041024365,0.347789233,886,174.9468,6.802076133,0.19789408,882.22,156.503256,6.789219971,0.179384489,183.99,59.215044,5.244833241,0.340087433,1325,249.0768,7.201709923,0.187667242,320300,40356.372,12.68110878,0.119148211,375,65.2344,5.891886061,0.199857998,92.407,14.2270296,4.550272322,0.173464858,62,29.652,4.152612088,0.426834012,115.72,29.177568,4.769518673,0.236465711,117.42,13.521312,4.797938045,0.165133767,449,8.8956,6.203472364,0.234896953,41983,12341.1624,10.64954023,0.271043597,364,29.652,5.880023335,0.088270679,14.61111111,7.795762745,2.649464045,0.491917248,7.590952762,2.52767737,2.019701297,0.321231475,89.548,35.9589804,4.442573906,0.472834766,571,170.499,6.284680254,0.443018756,562.85,151.462416,6.265291533,0.429161581,111.27,44.967258,4.651764643,0.465450138,801,226.8378,6.63009117,0.393031195,203150,68421.99,12.1571801,0.474906373,375,65.2344,5.891886061,0.199857998,69.578,22.935822,4.278928118,0.454847148,193,56.3388,5.245095461,0.444269872,196.07,55.96815,5.277367277,0.394427615,88.875,27.138993,4.506190124,0.425451287,456,117.1254,6.12901899,0.349109389,70972,19192.257,11.15737401,0.385257539,364,29.652,5.880007815,0.088268142,2.759259259,0.989005233,1.039584793,0.359988122,2.692534055,0.869969099,0.987924257,0.328269558,1.8621,0.30823254,0.647264263,0.181849501,9,2.9652,2.233237678,0.30732853,9.1084,2.74458912,2.236485405,0.303634566,2.3238,0.3995607,0.87430485,0.179066878,16,2.9652,2.804282697,0.245334049,3336,891.0426,8.127678166,0.304286772,375,65.2344,5.891191868,0.199529742,2.2898,0.54470724,0.846164449,0.242870851,7,1.4826,2.021383704,0.320648141,7.546,2.1890589,2.045403028,0.308063288,2.8224,0.65204748,1.059860997,0.243518102,16,4.4478,2.792957081,0.26992435,2693,770.952,7.913884385,0.316948521,360,29.652,5.868481783,0.090000526,1.2,0.131786667,0.211853974,0.155253507,1.187128177,0.115167435,0.191082377,0.124565567
7,C9,MALME3M,DAPI,FITC,TRITC,2,RPMI+5%FBS,RPMI+5%FBS,1,120,TGFB3+ctrl,Hoechst,Smad23,,0.652838428,299,144.06,51.060744,5.002584615,0.362197682,881.5,183.1011,6.792214199,0.199102764,871.5,166.985238,6.783790163,0.182959997,176.76,62.091288,5.208921249,0.354543909,1293,274.281,7.190309959,0.19525171,320190,42061.362,12.67672316,0.116918989,374,65.2344,5.892930435,0.182704423,96.557,16.1514444,4.587449827,0.178846057,61,22.9803,4.131853213,0.365718543,116.17,25.1789958,4.783144965,0.210930445,123.48,18.221154,4.830644743,0.167079769,504,81.543,6.219885329,0.209959147,42061,10526.46,10.6629042,0.242008786,361,28.1694,5.879757687,0.080828706,14.88636364,6.193224545,2.660360986,0.423838504,7.467157528,2.284640415,2.000645197,0.301464066,125.02,47.650764,4.795324162,0.457674182,708,220.9074,6.510185138,0.396318241,691.78,209.550684,6.488616977,0.387738068,156.29,59.22987,5.002024381,0.451702284,1006,302.4504,6.880263381,0.372944368,255430,88985.652,12.38154861,0.439781259,374,65.2344,5.892930435,0.182704423,73.185,22.2864432,4.317978678,0.379186144,163,48.9258,5.093853932,0.378291409,178.9,46.731552,5.196312554,0.336429187,96.198,26.9714592,4.581673621,0.357687435,512,133.434,6.251029345,0.314776894,64809,16914.9834,11.07607025,0.331999711,361,28.1694,5.879757687,0.080828706,4.346405229,1.454346657,1.416331206,0.385636167,3.754468735,1.175914909,1.292304423,0.34155679,1.924,0.3676848,0.674400178,0.190166574,9,2.9652,2.272932197,0.299993177,9.2577,2.68439556,2.274705457,0.300136691,2.4043,0.4662777,0.899862434,0.192550658,16,2.9652,2.833124506,0.250808696,3427,889.56,8.167171077,0.300660566,374,63.7518,5.892467133,0.182583251,2.328,0.47354244,0.858605734,0.23636374,8,2.9652,2.078984921,0.306513211,7.8324,2.19068976,2.096496334,0.294193592,2.867,0.60831078,1.073071517,0.235046957,16,4.4478,2.816978881,0.262373273,2803,727.9566,7.966073412,0.302378989,359,28.1694,5.869575938,0.084921323,1.166666667,0.112318182,0.193947276,0.140204547,1.17490202,0.105433814,0.178209123,0.114275977
8,C10,MALME3M,DAPI,FITC,TRITC,2,RPMI+5%FBS,RPMI+5%FBS,1,120,TGFB3+BMP4,Hoechst,Smad23,,0.585365854,288,145.18,46.123686,4.99969953,0.344656665,874.25,154.1904,6.785153648,0.189803202,866.585,133.322805,6.775635466,0.171079609,181.215,59.274348,5.206333679,0.334065687,1312,233.5095,7.191974994,0.180122661,324225,40971.651,12.68458956,0.119185661,380.5,64.4931,5.908951904,0.192467079,94.165,15.6162258,4.57720846,0.169307945,55.5,24.4629,4.079264092,0.445868615,111.61,26.3561802,4.763441891,0.238586799,121.995,18.539913,4.823022646,0.145349038,496.5,70.4235,6.208377456,0.186123913,40530,10797.0345,10.65259245,0.273661464,364.5,25.9455,5.889150951,0.085304795,16.13685185,8.502096821,2.705889556,0.488775212,7.623153975,2.475846973,2.012193575,0.312660875,111.08,40.9093818,4.683892923,0.419522482,633,170.86965,6.418780041,0.343487255,618.485,165.502638,6.398338843,0.336418466,136.485,52.024434,4.892585153,0.414689279,896,273.5397,6.785624255,0.330919747,232680,82165.692,12.30729379,0.395608853,380.5,64.4931,5.908951904,0.192467079,68.8185,23.3220393,4.259240653,0.372944627,152.75,51.52035,5.053449478,0.372730675,168.42,48.540324,5.146353008,0.320542647,91.009,27.6245445,4.515067593,0.351083304,486,120.0906,6.176139212,0.295268233,61655.5,17049.1587,11.03460104,0.322993921,364,26.6868,5.888247653,0.08543668,4.078116754,1.671615123,1.365330563,0.395632909,3.528400814,1.270265625,1.251985835,0.334858219,1.82615,0.29007069,0.648629433,0.187749545,9,2.9652,2.23619492,0.300569975,8.9168,2.19802863,2.239242465,0.29725104,2.3063,0.36242157,0.876692732,0.188517354,16,2.9652,2.811210947,0.244611152,3307,909.5751,8.147469145,0.312887732,380,63.7518,5.908226342,0.192212222,2.23485,0.45508407,0.819775597,0.215895753,7,1.4826,2.039632104,0.32724438,7.44705,1.81255263,2.057785827,0.314187847,2.7772,0.54693114,1.037514953,0.217230119,16,2.9652,2.788354077,0.262666792,2665.5,730.1805,7.936213195,0.333278451,360,28.1694,5.878427586,0.089902955,1.166666667,0.12355,0.196562816,0.161008681,1.172290182,0.109365184,0.181456639,0.128552131
9,C11,MALME3M,DAPI,FITC,TRITC,3,RPMI+5%FBS,RPMI+5%FBS,1,120,ctrl+ctrl,Hoechst,pSmad158,,0.635610766,307,142.3,51.950304,4.961817397,0.357290291,843.5,151.9665,6.756320294,0.187250346,843.18,140.743218,6.750194422,0.170682945,175.5,61.023816,5.163000041,0.34785198,1275,252.042,7.159274276,0.180010254,319900,37583.91,12.67152523,0.116150693,385,53.3736,5.921330689,0.179827777,98.562,17.0765868,4.611545908,0.175279777,60.5,28.9107,4.150196967,0.462544198,120.07,31.0145094,4.809606951,0.243383237,123.86,17.509506,4.842982673,0.144259567,499,74.13,6.198200775,0.151681323,43601,12560.5872,10.70355964,0.274077452,368,22.239,5.893950583,0.081192595,14.00813008,8.18899499,2.606123327,0.525348359,7.085445383,2.610598791,1.940587471,0.333695419,131.74,44.730042,4.884853646,0.463550848,543,152.7078,6.281642146,0.440162677,539.17,153.790098,6.277176303,0.431602706,162.8,52.92882,5.087041773,0.454619914,989,295.0374,6.882394616,0.413641488,207160,60534.558,12.19851192,0.4436849,385,53.3736,5.921330689,0.179827777,50.861,15.0973158,3.972326255,0.401866414,110,31.8759,4.686119405,0.398809272,122.6,34.781796,4.803188279,0.372007706,66.958,19.7319234,4.246157101,0.399688185,386,123.0558,5.990536551,0.407565667,44837,13714.05,10.69706372,0.377820912,368,22.239,5.893874388,0.081248405,4.85840708,1.231868832,1.595522742,0.265107038,4.430052615,1.095363404,1.473988024,0.273034617,1.8548,0.30749124,0.644941949,0.17779212,9,2.9652,2.194770533,0.288679994,8.7967,2.48053806,2.200804033,0.285740884,2.3247,0.3914064,0.871096912,0.176644347,16,2.9652,2.783327784,0.227546328,3291,883.6296,8.121223523,0.278965622,384,53.3736,5.920421981,0.179589358,2.2242,0.41779668,0.827155768,0.220273114,7,1.4826,2.015273237,0.275468976,7.5735,1.99572786,2.034860187,0.262283141,2.7348,0.489258,1.040852258,0.218053656,16,2.9652,2.779529597,0.239262478,2679,733.887,7.91925268,0.270645915,365,22.239,5.884393261,0.084123172,1.166666667,0.09884,0.179497296,0.145307577,1.151418414,0.093445587,0.165943845,0.123434006
10,C12,MALME3M,DAPI,FITC,TRITC,3,RPMI+5%FBS,RPMI+5%FBS,1,120,ctrl+BMP4,Hoechst,pSmad158,,0.630357143,353,129.63,42.120666,4.887552897,0.361031421,795,149.7426,6.692588706,0.200420671,786.36,133.226436,6.681804534,0.182563437,158.16,49.14819,5.09494214,0.351554471,1182,210.5292,7.092006799,0.19376862,294180,36694.35,12.61110574,0.124835701,384,57.8214,5.929299163,0.177105873,88.133,13.0276062,4.480808182,0.168641085,47.5,18.5325,3.899727448,0.402762498,102.41,19.9839654,4.638595722,0.220159088,112.89,11.93493,4.730195121,0.14760581,446,4.4478,6.115536477,0.187229546,37087,7909.671,10.53349045,0.242761837,366,25.2042,5.894894336,0.080506662,16.83783784,6.912121622,2.792861257,0.420561265,7.683770854,2.010035019,2.043208811,0.287291338,136.42,42.002058,4.913122358,0.412391227,571.5,160.8621,6.316324565,0.390882783,569.02,156.93321,6.305259045,0.377692994,166.27,49.770882,5.117147077,0.403293676,1032,272.7984,6.905703868,0.347124062,211180,62239.548,12.23455944,0.415533305,384,57.8214,5.929299163,0.177105873,50.854,15.4813092,3.947752195,0.343994423,109,29.652,4.672558237,0.353507247,120.3,30.4718778,4.787301569,0.328610528,67.72,19.740819,4.226125843,0.333574542,389,118.608,5.982876396,0.341207874,43789,12255.1716,10.68183953,0.336063716,366,25.2042,5.894537831,0.081692314,5.225352113,1.170445504,1.643766327,0.266396342,4.60139592,1.041407308,1.517957476,0.256742653,1.82,0.36234744,0.635822185,0.203381994,9,2.9652,2.18598238,0.342668537,8.5941,2.99826198,2.188351554,0.336498965,2.2964,0.44581782,0.861871107,0.197680077,16,4.4478,2.779306188,0.265493659,3268,1123.8108,8.116449681,0.342051633,384,57.8214,5.928097309,0.17679549,2.1635,0.49281624,0.798554938,0.259328722,7,2.9652,2.019842517,0.339873417,7.3107,2.38001778,2.034733009,0.335259379,2.6581,0.58103094,1.012828788,0.26197951,15,4.4478,2.772221505,0.288731829,2620,922.1772,7.91767006,0.344219544,361,25.2042,5.882937497,0.082676082,1.166666667,0.09884,0.166139862,0.140573735,1.147184931,0.087343795,0.153618545,0.113722972
